ICAO,Ident,Operator,Type,CMPG,#$Tag 1,#$Tag 2,Category
70C0BA,A4OAJ,Oman Royal Flight,Airbus ACJ319133X,Gov,Dictator Alert,Haitham bin Tarik,Dictator Alert
70C04D,A4OOMN,Oman Royal Flight,Boeing 747430,Gov,Dictator Alert,Haitham bin Tarik,Dictator Alert
70C0B7,A4OHMS,Oman Royal Flight,Boeing 7478H0BBJ,Gov,Dictator Alert,Haitham bin Tarik,Dictator Alert
70C020,A4OSO,Oman Royal Flight,Boeing 747SP27,Gov,Dictator Alert,Haitham bin Tarik,Dictator Alert
70C0B3,A4OAD,Oman Royal Flight,Gulfstream Aerospace G550,Gov,Dictator Alert,Haitham bin Tarik,Dictator Alert
70C0B4,A4OAE,Oman Royal Flight,Gulfstream Aerospace G550,Gov,Dictator Alert,Haitham bin Tarik,Dictator Alert
AC85AF,YV2869,Petroleos de Venezuela SA,Beech 1900D,Gov,Dictator Alert,,Dictator Alert
0D8181,YV2763,Petroleos de Venezuela SA,Beech1900D,Gov,Dictator Alert,,Dictator Alert
0D819B,YV2865,Petroleos De Venezuela SA,Beech1900D,Gov,Dictator Alert,,Dictator Alert
0D8106,YV1118,Petroleos de Venezuela SA,Bombardier Learjet 45,Gov,Dictator Alert,,Dictator Alert
0D80FF,YV2565,Petroleos de Venezuela SA,Bombardier Learjet 45,Gov,Dictator Alert,,Dictator Alert
0D8163,YV2716,Petroleos de Venezuela SA,Bombardier Learjet 45,Gov,Dictator Alert,,Dictator Alert
0D8169,YV2734,Petroleos de Venezuela SA,Bombardier Learjet 45,Gov,Dictator Alert,,Dictator Alert
0D8173,YV2738,Petroleos de Venezuela SA,Bombardier Learjet 45,Gov,Dictator Alert,,Dictator Alert
0D8100,YV2567,Petroleos de Venezuela SA,Bombardier Learjet 45XR,Gov,Dictator Alert,,Dictator Alert
0D809F,YV2040,Petroleos de Venezuela SA,Dassault Aviation Falcon 900B,Gov,Dictator Alert,,Dictator Alert
0D80EE,YV1128,Petroleos de Venezuela SA,Dassault Falcon 50,Gov,Dictator Alert,,Dictator Alert
0D8167,YV2726,Petroleos de Venezuela SA,Dassault Falcon 900B,Gov,Dictator Alert,,Dictator Alert
0D80E9,YV2485,Petroleos de Venezuela SA,Dassault Falcon 900EX,Gov,Dictator Alert,,Dictator Alert
0D80EC,YV2486,Petroleos de Venezuela SA,Dassault Falcon 900EX,Gov,Dictator Alert,,Dictator Alert
0D82E8,YV3360,Petroleos de Venezuela SA,Falcon 2000EX,Gov,Dictator Alert,,Dictator Alert
06A05B,A7AFE,Qatar Amiri Flight,Airbus A310-308,Gov,Dictator Alert,,Dictator Alert
06A038,A7HHM,Qatar Amiri Flight,Airbus A330-202,Gov,Dictator Alert,,Dictator Alert
06A01C,A7HJJ,Qatar Amiri Flight,Airbus A330-202,Gov,Dictator Alert,,Dictator Alert
06A05A,A7AAH,Qatar Amiri Flight,Airbus A340-313X,Gov,Dictator Alert,,Dictator Alert
06A021,A7HHH,Qatar Amiri Flight,Airbus A340-541,Gov,Dictator Alert,,Dictator Alert
06A001,A7HHK,Qatar Amiri Flight,Airbus A340211,Gov,Dictator Alert,,Dictator Alert
06A0D6,A7MHH,Qatar Amiri Flight,Airbus ACJ319-115X,Gov,Dictator Alert,,Dictator Alert
06A0A3,A7MED,Qatar Amiri Flight,Airbus ACJ319-133LR,Gov,Dictator Alert,,Dictator Alert
06A014,A7HHJ,Qatar Amiri Flight,Airbus ACJ319-133X,Gov,Dictator Alert,,Dictator Alert
06A18D,A7HSJ,Qatar Amiri Flight,Airbus ACJ320-232SL,Gov,Dictator Alert,,Dictator Alert
06A0A4,A7MBK,Qatar Amiri Flight,Airbus ACJ320-232X,Gov,Dictator Alert,,Dictator Alert
06A1E4,A7HBJ,Qatar Amiri Flight,Boeing 747-8KBBBJ,Gov,Dictator Alert,,Dictator Alert
06A0A2,A7HHE,Qatar Amiri Flight,Boeing 747-8KBBBJ,Gov,Dictator Alert,,Dictator Alert
